,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
comp1,7.3451646902878505,7.3451646902878505,66.94271008609131,66.94271008609131
comp2,2.444638407952959,9.78980309824081,22.28006138859024,89.22277147468155
comp3,0.33133610769997707,10.121139205940787,3.019746722376657,92.2425181970582
comp4,0.2541931058245566,10.375332311765344,2.3166771756113698,94.55919537266958
comp5,0.2171685226393307,10.592500834404674,1.9792407745590992,96.53843614722868
comp6,0.10021464624198584,10.69271548064666,0.913340992697953,97.45177713992663
comp7,0.07687533255325935,10.769590813199919,0.7006300494105083,98.15240718933714
comp8,0.0709927667150661,10.840583579914986,0.6470172420640358,98.79942443140118
comp9,0.058207346008601765,10.898790925923588,0.5304928688511039,99.32991730025228
comp10,0.02926700570151123,10.9280579316251,0.26673502370271124,99.59665232395498
comp11,0.022976169563432503,10.951034101188531,0.2094013031467455,99.80605362710173
comp12,0.019098531991432882,10.970132633179965,0.1740611060583759,99.98011473316011
comp13,0.0021818740182672,10.972314507198233,0.019885266839879703,99.99999999999999
